vendor_id,vendor_name,verification_status,account_lifecycle_status,current_price_per_kg,vendor_latitude,vendor_longitude,operational_zone
VND_539,EcoFlame LPG Hub 40,Verified,Active,1200,6.428932871209207,3.4238938906448197,Lekki Phase 1
VND_540,Alhaji & Sons Gas Skid 41,Pending Audit,Active,1200,6.431590775579768,3.422632794583334,Lekki Phase 1
VND_541,EcoFlame LPG Hub 42,Pending Audit,Active,1250,6.424196500142579,3.4181743334264842,Lekki Phase 1
VND_542,Alhaji & Sons Gas Skid 43,Pending Audit,Active,1350,6.624718707472815,3.37443268108921,Magodo Phase 2
VND_543,EcoFlame LPG Hub 44,Verified,Active,1250,6.428735037818783,3.4195182174487253,Lekki Phase 1
VND_544,Alhaji & Sons Gas Skid 45,Verified,Active,1200,6.5523619910004935,3.3984371284475845,Gbagada Estate
VND_545,EcoFlame LPG Hub 46,Verified,Active,1400,6.626904555706848,3.3771301639136735,Magodo Phase 2
VND_546,Alhaji & Sons Gas Skid 47,Verified,Active,1400,6.4315891848361035,3.4255750388350954,Lekki Phase 1
VND_547,EcoFlame LPG Hub 48,Pending Audit,Active,1200,6.425764879971363,3.4203895488197515,Lekki Phase 1
VND_548,Alhaji & Sons Gas Skid 49,Verified,Active,1350,6.62525993824975,3.3791341120183307,Magodo Phase 2
VND_549,EcoFlame LPG Hub 50,Verified,Active,1400,6.428253813953516,3.425845808538244,Lekki Phase 1
